type,query,film,time,score
High Score (Strong Match),fight,Karate_pacan_Legendy_2025_640.mp4,3923s,0.31201171875
High Score (Strong Match),fight,Karate_pacan_Legendy_2025_640.mp4,3923s,0.31201171875
High Score (Strong Match),fight,Karate_pacan_Legendy_2025_640.mp4,3923s,0.31201171875
High Score (Strong Match),fight,Karate_pacan_Legendy_2025_640.mp4,3923s,0.31201171875
High Score (Strong Match),fight,Karate_pacan_Legendy_2025_640.mp4,3923s,0.31201171875
High Score (Strong Match),fight,Karate_pacan_Legendy_2025_640.mp4,3923s,0.31201171875
High Score (Strong Match),fight,Karate_pacan_Legendy_2025_640.mp4,3923s,0.31201171875
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2608s,0.279052734375
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2200s,0.27294921875
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2608s,0.279052734375
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2200s,0.27294921875
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2608s,0.279052734375
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2200s,0.27294921875
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2608s,0.279052734375
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2200s,0.27294921875
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2608s,0.279052734375
High Score (Strong Match),flood,Nepobedimiy_master_mecha_2025_640.mp4,2200s,0.27294921875
High Score (Strong Match),jumping,Nepobedimiy_master_mecha_2025_640.mp4,2608s,0.284912109375
High Score (Strong Match),jumping,Nepobedimiy_master_mecha_2025_640.mp4,1492s,0.28271484375
High Score (Strong Match),jumping,Nepobedimiy_master_mecha_2025_640.mp4,6373s,0.28271484375
High Score (Strong Match),jumping,Glavniy_geroy_2021_640.mp4,5706s,0.282470703125
High Score (Strong Match),jumping,Glavniy_geroy_2021_640.mp4,3393s,0.28173828125
High Score (Strong Match),jumping,Karate_pacan_Legendy_2025_640.mp4,4925s,0.279296875
High Score (Strong Match),jumping,Nepobedimiy_master_mecha_2025_640.mp4,6507s,0.278076171875
High Score (Strong Match),jumping,Karate_pacan_Legendy_2025_640.mp4,4096s,0.276611328125
High Score (Strong Match),falling,Telohranitel_zheni_killera_2021_720.mp4,5815s,0.28955078125
High Score (Strong Match),falling,Nepobedimiy_master_mecha_2025_640.mp4,4837s,0.287841796875
High Score (Strong Match),falling,Nepobedimiy_master_mecha_2025_640.mp4,1835s,0.286865234375
High Score (Strong Match),falling,Karate_pacan_Legendy_2025_640.mp4,3662s,0.286865234375
High Score (Strong Match),falling,Nepobedimiy_master_mecha_2025_640.mp4,1850s,0.28662109375
High Score (Strong Match),falling,Karate_pacan_Legendy_2025_640.mp4,4061s,0.28466796875
High Score (Strong Match),falling,Nepobedimiy_master_mecha_2025_640.mp4,6084s,0.284423828125
High Score (Strong Match),falling,Nepobedimiy_master_mecha_2025_640.mp4,6762s,0.28369140625
High Score (Strong Match),falling,Nepobedimiy_master_mecha_2025_640.mp4,1499s,0.283447265625
High Score (Strong Match),falling,Nepobedimiy_master_mecha_2025_640.mp4,2667s,0.283203125
